id,lat,lon
c2f1c5b5279a5a2951627f767d4bf57a205aa261,37.8026403,-122.4069144
3eb74bd99d08922d1d181a6281f0776abe39ee71,37.8003254,-122.4101647
a8abe66dc55890dee6c28d5b8b78e212fd7c7463,37.7323333,-122.4473166
6aa4cefccb0fcc43267a2c9c0eb2d7551f7e7657,37.700907,-122.4212325
7de8bb7b11fe8b43977f5b8dc0bd62d48435ff2f,37.7271859,-122.4480229
edfdb635a7b4b0d69b1d0826f5d3a4b08479f120,37.7400779,-122.4507027
d5dcb69734c7dd6c26cb33b086a6c76b3c2c8bd0,37.7328527,-122.4169534
bf1e01040d1f63ecc56288034601839644615b16,37.7033392,-122.4463503
884a47426aa0ef84754b1a49e90dcf0f7b51b22f,37.7435438,-122.4380509
0785f488c2e3db7343312f2a5f78b79291e8e7c4,37.7498122,-122.4034661
679543aabc729432b07fc96fd85ef1947f60ab4a,37.7495944,-122.4028622
4a0e9aef0ec864581a7e4f2058877ce59da5d021,37.7611796,-122.4360394
282bb2d09e7ed80e5d43c0bedeb178cb1f463995,37.7077546,-122.4706304
6a904a18f0312b8f2862685ab4ed11872d03602f,37.7018664,-122.4622569
5fc05ed5b03907d3836f44830520358585dec732,37.8005022,-122.4621512
8fdd3d159403f9501498b578206c113f5db31864,37.778735,-122.4278788
12d77c32eee84d0a94fa39e2492d60b6230f822b,37.6879297,-122.4018842
c707d3d1d056273dabba565206948df4b05e1148,37.7193335,-122.4280158
76670d1213b472bb6416cab71f5ca00fe80fe551,37.724893,-122.4090455
be5fcf6f2848fcbc85bd9810dc9336971f20afe1,37.7800573,-122.4482027
3849300093e25df133d814e41bc78847bbe2ca42,37.7598278,-122.4258623
cf4c9314b58d85153d08a45eb467fdb7a43e7b17,37.7767255,-122.4033895
6272ccf3f567f0008de02ed4241bb09cf53ba3ec,37.7724921,-122.4188648
a9609b965da85136dfcdfd803d80f46457bf7a01,37.7978936,-122.4038103
cdb491e0ea1049020d8a2c831ec1a6cb29a31d6b,37.709733,-122.4324895
fd03237a0324d8d0cc78816dce901f517346acf6,37.6897864,-122.4690012
80860e415a84586493c571ab9fe8263855dcae1f,37.7463123,-122.4042943
32a0bbc158213b7f58d49a72e4441376257f1d71,37.777547,-122.4161616
454b7245b658e5918cd8f37db0babe32d11f2136,37.7402231,-122.3774399
911259fe7db7a76814d8f4fb03eb2737bd6653c1,37.7125649,-122.3874566
6fcee2d38bcb3e4fee8a83eabb1bdd92f696fabf,37.7324874,-122.4700504
80faba6c95ed8baed150f1ddf18fc19870a4f79c,37.804193,-122.4268264
e1be32debc30ef2f4850b110e56d53e01422b9d7,37.7931179,-122.4829268
6014f5081216c9d450867878be8a85698566ae53,37.7832187,-122.4053669
9fc4192860edc5c7ba6f74526f445c1db63e6e19,37.6972704,-122.4635281
ab2463c3bb68ef6284ba039a1c739019a4078daf,37.7404737,-122.3923613
80162b020f8029a99dc9430b444842cb35d4ebc2,37.7783952,-122.4489211
b8d60116ee7d6b834547903fcc903cff06f30aa8,37.7486065,-122.4012978
0264d1089e222f1760f51cd12937555523f43c45,37.7186522,-122.4413743
